sp,sp.cod,sp.num,community,freq,L,F,R,N,S,LF,AP,wood_moss_liver,NS,contin
Achillea millefolium,achi.mill,57,CG3d,1,7,5,6,4,1,Ch,p,h,5,5
Asperula cynanchica,aspe.cyna,1,CG2,2,7,3,8,2,0,hc,p,h,7,3
Asperula cynanchica,aspe.cyna,1,CG5,2,7,3,8,2,0,hc,p,h,7,3
Astragalus danicus,astr.dani,68,CG5,1,8,3,8,2,0,hc,p,h,7,6
Blackstonia perfoliata,blac.perf,61,CG5,2,8,5,8,2,0,Th,a,h,9,2
Brachypodium pinnatum,brac.pinn,2,CG2,1,7,3,8,3,0,hc,p,h,7,4
Brachypodium pinnatum,brac.pinn,2,CG5,5,7,3,8,3,0,hc,p,h,7,4
Brachypodium sylvaticum,brac.sylv,76,CG3d,1,6,5,6,5,0,hc,p,h,7,3
Briza media,briz.medi,3,CG2,4,8,5,7,3,0,hc,p,h,7,3
Briza media,briz.medi,3,CG5,4,8,5,7,3,0,hc,p,h,7,3
Bromopsis erecta,brom.erec,4,CG2,2,7,4,8,3,0,hc,p,h,7,3
Bromopsis erecta,brom.erec,4,CG3d,5,7,4,8,3,0,hc,p,h,7,3
Bromopsis erecta,brom.erec,4,CG5,5,7,4,8,3,0,hc,p,h,7,3
Campanula rotundifolia,camp.rotu,5,CG2,3,7,4,5,2,0,hc,p,h,5,6
Carex flacca,care.flac,7,CG2,5,7,5,6,2,0,hc,p,h,8,3
Carex flacca,care.flac,7,CG3d,4,7,5,6,2,0,hc,p,h,8,3
Carex humilis,care.humi,8,CG2,1,8,3,8,2,0,hc,p,h,7,5
Carlina vulgaris,carl.vulg,63,CG5,1,8,4,7,2,0,hc,b,h,7,4
Centaurea scabiosa,cent.scab,52,CG3d,3,8,3,8,3,0,hc,p,h,7,4
Cirsium acaule,cirs.acau,10,CG2,3,9,4,8,3,0,hc,p,h,7,3
Cirsium acaule,cirs.acau,10,CG3d,2,9,4,8,3,0,hc,p,h,7,3
Cirsium eriophorum,cirs.erio,11,CG2,1,8,4,8,5,0,hc,b,h,7,3
Ctenidium molluscum,cten.moll,65,CG5,3,7,6,7,2,0,Mr,P,M,5,3
Danthonia decumbens,dant.decu,71,CG5,1,7,6,4,2,0,hc,p,h,7,3
Daucus carota,dauc.caro,58,CG3d,1,8,4,7,3,2,hc,b,h,8,4
Festuca arundinacea,fest.arun,51,CG3d,3,8,6,7,6,1,hc,p,h,8,4
Filipendula vulgaris,fili.vulg,16,CG2,2,7,4,8,2,0,hc,p,h,7,4
Galium verum,gali.veru,17,CG2,3,7,4,6,2,0,hc,p,h,5,5
Gentianella amarella,gent.amar,18,CG2,2,8,4,8,2,0,hc,b,h,5,6
Helictotrichon pratense,heli.prat,20,CG2,4,7,4,7,2,0,hc,p,h,7,3
Helictotrichon pratense,heli.prat,20,CG3d,3,7,4,7,2,0,hc,p,h,7,3
Helictotrichon pubescens,heli.pube,21,CG2,2,7,4,7,3,0,hc,p,h,7,3
Helictotrichon pubescens,heli.pube,21,CG3d,2,7,4,7,3,0,hc,p,h,7,3
Hippocrepis comosa,hipp.como,22,CG2,2,8,3,8,2,0,Ch,p,h,7,3
Homalothecium lutescens,homa.lute,24,CG2,2,8,3,8,2,0,We,P,M,8,3
Homalothecium lutescens,homa.lute,24,CG3d,1,8,3,8,2,0,We,P,M,8,3
Hypericum montanum,hype.mont,25,CG2,1,7,4,8,2,0,hc,p,h,7,3
Koeleria macrantha,koel.macr,26,CG2,5,8,4,7,2,0,hc,p,h,7,6
Koeleria macrantha,koel.macr,26,CG3d,2,8,4,7,2,0,hc,p,h,7,6
Leontodon saxatilis,leon.saxa,28,CG2,1,8,5,6,3,0,hc,p,h,8,2
Linum catharticum,linu.cath,29,CG2,4,8,5,7,2,0,hc,b,h,7,3
Linum catharticum,linu.cath,29,CG5,3,8,5,7,2,0,hc,b,h,7,3
Lolium perenne,loli.pere,74,CG3d,1,8,5,6,6,0,hc,p,h,8,3
Lotus corniculatus,lotu.corn,30,CG2,4,7,4,6,2,1,hc,p,h,8,5
Lotus corniculatus,lotu.corn,30,CG5,4,7,4,6,2,1,hc,p,h,8,5
Orobanche elatior,orob.elat,77,CG3d,1,8,3,8,3,0,Gn,p,h,7,4
Pilosella officinarum,pilo.offi,33,CG2,4,8,4,7,2,0,hc,p,h,7,3
Plantago media,plan.medi,36,CG2,3,8,4,7,3,0,hc,p,h,7,5
Polygala calcarea,poly.calc,79,CG5,1,7,3,8,2,0,Ch,p,h,8,1
Polygala vulgaris,poly.vulg,54,CG3d,1,8,5,6,3,0,Ch,p,h,7,3
Primula veris,prim.veri,37,CG2,2,7,4,7,3,0,hc,p,h,7,4
Pulsatilla vulgaris,puls.vulg,67,CG5,2,7,3,8,3,0,hc,p,h,7,3
Ranunculus bulbosus,ranu.bulb,39,CG2,2,7,4,7,4,0,hc,p,h,8,3
Sedum acre,sedu.acre,43,CG2,1,8,2,7,2,1,Ch,p,h,7,3
Serratula tinctoria,serr.tinc,70,CG5,1,7,6,6,2,0,hc,p,h,7,3
Succisa pratensis,succ.prat,44,CG2,2,7,7,5,2,0,hc,p,h,7,4
Thesium humifusum,thes.humi,69,CG5,1,8,3,8,3,0,Ch,p,h,7,1
Trifolium pratense,trif.prat,46,CG2,3,7,5,7,5,0,hc,p,h,7,4
Trisetum flavescens,tris.flav,48,CG2,1,7,4,7,4,0,hc,p,h,7,3
Weissia brachycarpa,weis.brac,49,CG2,1,8,4,6,3,0,Tf,PA,M,8,6
